artist,gender,category
Alex Lewis,male,American_male_singer-songwriters
Alex Ligertwood,male,Scottish_male_singers
Alex Masi,male,Male_guitarists
Alex McNamara,male,English_male_singers
Alex Minoff,male,American_male_guitarists
Alex Mitchell,male,American_male_singers
Alex Murrel,female,American_female_singers
Alex Neri,male,Male_songwriters
Alex Nevsky,male,Canadian_male_singers
Alex Newell,male,American_male_singers
Alex Nolan,male,American_male_guitarists
Alex Otaola,male,Male_guitarists
Alex Parks,female,English_female_singers
Alex Preston,male,American_male_singers
Alex Roots,female,British_female_singers
Alex Rosamilia,male,American_male_guitarists
Alex Scally,male,American_male_guitarists
Alex Scholpp,male,Male_guitarists
Alex Sharpe,female,Irish_female_singers
Alex Skolnick,male,American_male_guitarists
Alex Story,male,American_male_singers
Alex Taylor,male,American_male_singers
Alex Terhune,male,American_male_guitarists
Alex Torres,male,American_male_guitarists
Alex Tumay,male,American_male_guitarists
Alex Varkatzas,male,American_male_singers
Alex Vega,male,Male_guitarists
Alex Webster,male,American_male_guitarists
Alex Weir,male,American_male_guitarists
Alex Wiley,male,African-American_male_rappers
Alex Wolff,male,American_male_guitarists
Alexa Dectis,female,American_female_pop_singers
Alexa Goddard,female,English_female_pop_singers
Alexa Ray Joel,female,American_female_singer-songwriters
Alexa Vega,female,American_female_singers
Alexa Wilkinson,female,American_female_guitarists
Alexa Woodward,female,American_female_singer-songwriters
Alexander Bashlachev,male,Male_guitarists
Alexander DeLeon,male,American_male_singer-songwriters
Alexander Hacke,male,Male_guitarists
Alexander Ivanov-Kramskoi,male,Male_guitarists
Alexander Kostarev,male,Male_guitarists
Alexander L'Estrange,male,English_male_composers
Alexander Ludwig,male,Canadian_male_singers
Alexander Noyes,male,American_male_singers
Alexander O'Neal,male,American_male_singer-songwriters
Alexander Rocciasana,male,Male_songwriters
Alexander Tucker,male,Male_guitarists
Alexander Turnquist,male,American_male_guitarists
Alexandr Kutikov,male,Male_guitarists
Alexandra Burke,female,English_female_pop_singers
Alexandra Deshorties,female,Canadian_female_singers
Alexandra Dreyfus,female,American_female_singers
Alexandra Slate,female,Canadian_female_singers
Alexandra Starlight,female,American_female_singers
Alexandre Azaria,male,Male_guitarists
Alexandre Dréan,male,French_male_singers
Alexandre Guyon,male,French_male_singers
Alexandre Lagoya,male,Male_guitarists
Alexandre Menezes,male,Male_guitarists
Alexandre Navarro,male,Male_guitarists
Alexi Murdoch,male,British_male_singers
Alexia Coley,female,English_female_singer-songwriters
Alexia Khadime,female,English_female_singers
Alexis Babini,male,American_male_guitarists
Alexis Cole,female,American_female_jazz_singers
Alexis Gewertz Shepard,female,American_female_singers
Alexis HK,male,French_male_singers
Alexis Hall,female,British_female_singers
Alexis Jordan,female,African-American_female_singers
Alexis Korner,male,British_male_singers
Alexis Krauss,female,American_female_rock_singers
Alexis P. Suter,female,African-American_female_singer-songwriters
Alexis S.F. Marshall,male,American_male_singers
Alexis Taylor,male,British_male_singers
Alexis Tipton,female,American_female_singers
Alexis Wilkins,female,American_female_country_singers
Alexx Calise,female,American_female_guitarists
Alexz Johnson,female,Canadian_female_singers
Aleyce Simmonds,female,Australian_female_singers
Alf Robertson,male,Swedish_male_singers
Alfie Agnew,male,American_male_guitarists
Alfio,male,Australian_male_singers
Alfonso Ferrabosco the elder,male,English_male_composers
Alfonso Joseph,male,American_male_guitarists
Alfonzo Blackwell,male,American_male_guitarists
Alfred Deller,male,English_male_singers
Alfred Lester,male,English_male_singers
Alfred Reynolds,male,English_male_composers
Alfred Vance,male,English_male_singers
Alfreda Gerald,female,American_female_singers
Alfredo Boloña,male,Male_guitarists
Alfredo Bracchi,male,Male_songwriters
Alfredo Zacarías,male,Male_songwriters
Alfunction,male,American_male_guitarists
Algebra,female,American_female_singers
Algia Mae Hinton,female,American_female_guitarists
Algis Kizys,male,American_male_guitarists
Ali,male,African-American_male_rappers
